product_id,p_name,p_subname,p_slug,p_creation_date,p_last_update_date,p_risk_indicator,p_recommended_horizon,available_pp,available_pm,rating,rating_repartition,reviews_nb,programmed_payment_available,programmed_payment_minimum_monthly,programmed_payment_minimum_quarterly,programmed_payment_minimum_biannually,programmed_payment_minimum_annually,is_free_management,p_lifecycle_id,createdAt,p_category_id,p_category,p_category_slug,seller_id,seller_slug,company_name
4bb108e3-5e96-4bb1-84ff-698ece934bb1,Profil Essentiel,<p>Alphacap</p>,alphacap-profil-essentiel,2023-12-31,2024-05-01,7,60,true,true,0,"0,0,0,0,0",0,true,500,1500,3000,6000,false,2,Mon Oct 23 2023 11:22:29 GMT+0200 (heure d’été d’Europe centrale),8,Cryptomonnaie,cryptomonnaie,198114f3-a409-46a6-9b77-928201600ab6,test-flavien,Test · Flavien
dc3eec18-6adb-4902-b07e-df1f707e64e3,Iroko Zen,Salut test,iroko-zen,2020-01-01,2023-02-01,3,96,true,true,5,"0,0,0,0,2",2,false,,,,,false,2,Mon Jul 31 2023 16:54:23 GMT+0200 (heure d’été d’Europe centrale),0,SCPI,scpi,c9a0ec6f-2d70-4f66-967e-a535ccb988c2,bnp-paribas-reim,BNP Paribas REIM
cb653711-f514-4320-9dff-9486b4329bfb,France Valley Revenu Europe,,france-valley-revenu-europe,2001-01-01,2023-10-24,3,992,true,true,0,"0,0,0,0,0",0,false,,,,,false,2,Tue Oct 24 2023 12:02:26 GMT+0200 (heure d’été d’Europe centrale),4,GFI,groupement-forestier,c9a0ec6f-2d70-4f66-967e-a535ccb988c2,bnp-paribas-reim,BNP Paribas REIM
0accd300-0acc-46c2-aa01-607be5a3eb42,Edmond de Rothschild Europa · Parts sponsors,,edmond-de-rothschild-europa,2024-04-07,2024-04-07,3,120,false,false,0,"0,0,0,0,0",0,false,,,,,false,2,Mon Oct 23 2023 11:22:29 GMT+0200 (heure d’été d’Europe centrale),0,SCPI,scpi,198114f3-a409-46a6-9b77-928201600ab6,test-flavien,Test · Flavien
de6375a9-d9d7-4bb7-9f95-c48168312eba,Linxea-PER,,linxea-per,2001-01-01,2023-08-03,3,96,true,false,5,"0,0,0,0,0",70,false,,,,,false,0,Thu Aug 03 2023 09:55:37 GMT+0200 (heure d’été d’Europe centrale),5,Plan d'épargne retraite,plan-d-epargne-retraite,e9a0ec6f-2d70-4f67-967e-a535ccb988c2,atland-voisin,MyMoneyBank
10ab2947-2c22-4788-a349-1f98a3c133f4,Buroboutic,,buroboutic,2019-01-01,2021-01-01,3,96,true,true,5,"0,0,0,0,1",1,true,267,267,267,267,false,2,Mon Jul 31 2023 16:54:19 GMT+0200 (heure d’été d’Europe centrale),0,SCPI,scpi,c9a0ec6f-2d70-4f67-967e-a535ccb988c2,hsbc-reim,HSBC REIM
c6e32825-313d-4407-9b69-c6e338c1d100,Liberalys Vie · Dynamique,Intencial Liberalys Vie,liberalys-vie-dynamique,2017-03-23,2024-02-12,7,96,true,false,5,"0,0,0,0,0",6,true,100,300,600,600,false,2,Mon Feb 12 2024 14:21:47 GMT+0100 (heure normale d’Europe centrale),1,Assurance vie,assurance-vie,c9a0ec6f-2d70-4f66-967e-a535ccb988c2,bnp-paribas-reim,BNP Paribas REIM
0c2a81c5-4c15-450f-a659-00236ae2f71e,Novaxia Neo,,novaxia-neo,2019-01-01,2021-01-01,3,96,true,true,4,"0,0,0,0,0",43,false,,,,,false,2,Mon Jul 31 2023 16:54:23 GMT+0200 (heure d’été d’Europe centrale),0,SCPI,scpi,c9a0ec6f-2d70-4f66-967e-a535ccb988c2,bnp-paribas-reim,BNP Paribas REIM
313d2825-313d-4407-9b69-c6e338c1d100,Liberalys Vie · Équilibré,,liberalys-vie-equilibre,2017-03-23,2024-02-12,7,96,true,false,5,"0,0,0,0,0",6,true,100,300,600,600,false,2,Mon Feb 12 2024 14:21:47 GMT+0100 (heure normale d’Europe centrale),1,Assurance vie,assurance-vie,c9a0ec6f-2d70-4f66-967e-a535ccb988c2,bnp-paribas-reim,BNP Paribas REIM
9b692825-313d-4407-9b69-c6e338c1d100,Liberalys Vie · Ambitieux,Voici le sous titre du produit Libralys Vie,liberalys-vie-ambitieux,2017-03-23,2024-02-12,7,96,true,false,5,"0,0,0,0,0",6,true,100,300,600,600,false,2,Mon Feb 12 2024 14:21:47 GMT+0100 (heure normale d’Europe centrale),1,Assurance vie,assurance-vie,c9a0ec6f-2d70-4f66-967e-a535ccb988c2,bnp-paribas-reim,BNP Paribas REIM
b068a46e-3ba8-44a7-9f5e-3ffd88822a43,Altixia Cadence Xii,,altixia-cadence-xii,2019-01-01,2021-01-01,3,96,true,true,5,"0,0,0,0,1",1,false,,,,,false,2,Mon Jul 31 2023 16:54:15 GMT+0200 (heure d’été d’Europe centrale),0,SCPI,scpi,c9a0ec6f-2d70-4f67-967e-a535ccb988c2,hsbc-reim,HSBC REIM
e901fcc9-070b-4b1c-be80-e466f6cf077d,Remake Live,,remake-live,2001-01-01,2001-01-01,3,96,true,true,5,"0,0,0,0,2",2,true,204,204,,204,false,2,Mon Jul 31 2023 16:54:13 GMT+0200 (heure d’été d’Europe centrale),0,SCPI,scpi,c9a0ec6f-2d70-4f66-967e-a535ccb988c2,bnp-paribas-reim,BNP Paribas REIM
a0802a12-045c-4fbc-935e-5207d68beef7,Aestiam Cap'Hebergimmo,,aestiam-caphebergimmo,2019-01-01,2021-01-01,3,96,true,true,5,"0,0,0,0,1",1,true,50,,50,50,false,2,Mon Jul 31 2023 16:54:14 GMT+0200 (heure d’été d’Europe centrale),0,SCPI,scpi,c9a0ec6f-2d70-4f67-967e-a535ccb988c2,hsbc-reim,HSBC REIM
2170b851-6fc4-4722-9d8e-73a36383bc39,Alta Convictions,,alta-convictions,2023-09-01,2023-12-31,3,108,true,false,0,"0,0,0,0,0",0,true,300,300,300,300,false,2,Mon Apr 29 2024 15:10:33 GMT+0200 (heure d’été d’Europe centrale),0,SCPI,scpi,d9a0ec6f-2d70-4f67-967e-a535ccb988c2,test-flavien,Test · Flavien
1b34bfae-8cfe-445a-a51c-2ccbe82aff90,Foncière Remusat,,fonciere-remusat,2019-01-01,2021-01-01,3,96,true,true,5,"0,0,0,0,0",93,false,,,,,false,2,Mon Jul 31 2023 16:54:17 GMT+0200 (heure d’été d’Europe centrale),0,SCPI,scpi,d9a0ec6f-2d70-4f67-967e-a535ccb988c2,test-flavien,Test · Flavien
5b632abe-faf0-4a41-9432-4c5b35305822,Sofidy Pierre Europe,,sofidy-pierre-europe,2001-01-01,2023-11-13,2,8,true,true,1,"0,0,0,0,0",41,false,,,,,false,2,Mon Nov 13 2023 17:44:25 GMT+0100 (heure normale d’Europe centrale),2,OPCI,opci,c9a0ec6f-2d70-4f66-967e-a535ccb988c2,bnp-paribas-reim,BNP Paribas REIM
47223307-0416-491e-9d53-bf50918bee2e,Altixia Commerces,,altixia-commerces,2019-01-01,2021-01-01,3,96,true,true,5,"0,0,0,0,0",82,false,,,,,false,2,Mon Jul 31 2023 16:54:16 GMT+0200 (heure d’été d’Europe centrale),0,SCPI,scpi,c9a0ec6f-2d70-4f67-967e-a535ccb988c2,hsbc-reim,HSBC REIM
6072da1a-9ea1-44d8-bddd-457d59fcf38e,Ficommerce Europe,,ficommerce-europe,2019-01-01,2021-01-01,2,89,true,true,4,"0,0,0,0,0",51,false,,,,,false,2,Mon Jul 31 2023 16:54:19 GMT+0200 (heure d’été d’Europe centrale),0,SCPI,scpi,c9a0ec6f-2d70-4f67-967e-a535ccb988c2,hsbc-reim,HSBC REIM
a5063e0d-a9bb-486c-8826-dd1fe535780a,Cristal Life,,cristal-life,2021-01-01,2021-01-01,3,96,true,true,3,"0,0,0,0,0",25,true,25,75,150,300,false,2,Mon Jul 31 2023 16:54:21 GMT+0200 (heure d’été d’Europe centrale),0,SCPI,scpi,d9a0ec6f-2d70-4f67-967e-a535ccb988c2,test-flavien,Test · Flavien
067befc4-cb5b-466a-b793-7853411aead9,Elysées Pierre,,elysees-pierre,2019-01-01,2021-01-01,3,96,true,true,4,"0,0,0,0,0",4,false,,,,,false,2,Mon Jul 31 2023 16:54:09 GMT+0200 (heure d’été d’Europe centrale),0,SCPI,scpi,e9a0ec6f-2d70-4f67-967e-a535ccb988c2,atland-voisin,MyMoneyBank
65a19301-4c27-4bcb-84be-706fdcb04802,Aew Commerces Europe,,aew-commerces-europe,2020-01-01,2022-01-01,3,96,true,true,2,"0,0,0,0,0",77,false,,,,,false,2,Mon Oct 23 2023 11:22:30 GMT+0200 (heure d’été d’Europe centrale),0,SCPI,scpi,198114f3-a409-46a6-9b77-928201600ab6,test-flavien,Test · Flavien
3ba1a7d1-9f4e-4dd9-89d0-cfb501cc9fec,Pierre Expansion Santé,,pierre-expansion-sante,2019-01-01,2021-01-01,3,96,false,true,2.5,"0,0,0,0,1",2,false,,,,,false,2,Mon Jul 31 2023 16:54:20 GMT+0200 (heure d’été d’Europe centrale),0,SCPI,scpi,d9a0ec6f-2d70-4f67-967e-a535ccb988c2,test-flavien,Test · Flavien
76020664-8c0e-4310-809d-4ebc0501ff75,Osmo Énergie,,osmo-energie,2024-03-21,2024-03-21,3,96,true,true,2,"0,0,0,0,0",2,false,,,,,false,2,Thu Mar 21 2024 16:58:25 GMT+0100 (heure normale d’Europe centrale),0,SCPI,scpi,bb445320-78f3-4f18-88a3-0f6f7387ea24,alderan,Alderan
be907c6d-bc29-4a9c-95af-74da2245bf17,Aestiam Pierre Rendement,,aestiam-pierre-rendement,2019-01-01,2021-01-01,3,76,true,true,1,"0,0,0,0,0",8,true,22,222,12,762,false,2,Mon Jul 31 2023 16:54:14 GMT+0200 (heure d’été d’Europe centrale),0,SCPI,scpi,c9a0ec6f-2d70-4f67-967e-a535ccb988c2,hsbc-reim,HSBC REIM
ea146f47-ac7f-4ca7-b9dc-d3ca75197f72,CœurForest,,courforest,2001-01-01,2023-07-31,3,120,true,true,0,"0,0,0,0,0",0,false,,,,,false,2,Mon Jul 31 2023 16:54:59 GMT+0200 (heure d’été d’Europe centrale),4,GFI,groupement-forestier,e9a0ec6f-2d70-4f67-967e-a535ccb988c2,atland-voisin,MyMoneyBank
3bd48adb-3a11-4067-ae77-acef2d5b7b6b,Coeur De Régions,,coeur-de-regions,2019-01-01,2021-01-01,3,96,true,true,4.1,"0,0,1,1,2",4,false,,,,,false,2,Mon Jul 31 2023 16:54:12 GMT+0200 (heure d’été d’Europe centrale),0,SCPI,scpi,d9a0ec6f-2d70-4f67-967e-a535ccb988c2,test-flavien,Test · Flavien
920c3db3-1c5a-4c1a-bd35-2278bad51a91,Pf Grand Paris,,pf-grand-paris,2019-01-01,2021-01-01,3,96,true,true,5,"0,0,0,0,1",1,true,544,544,544,544,false,2,Mon Jul 31 2023 16:54:26 GMT+0200 (heure d’été d’Europe centrale),0,SCPI,scpi,d9a0ec6f-2d70-4f67-967e-a535ccb988c2,test-flavien,Test · Flavien
c8eb4958-a563-4a91-ae9c-9b182a2ce731,Sofidynamic,,sofidynamic,2001-01-01,2001-01-01,3,8,true,true,3,"0,0,0,0,0",96,true,294,294,294,,false,2,Tue Feb 27 2024 17:40:31 GMT+0100 (heure normale d’Europe centrale),0,SCPI,scpi,d9a0ec6f-2d70-4f67-967e-a535ccb988c2,test-flavien,Test · Flavien
0024d334-090c-40a8-99a9-d7ad356f9771,Logipierre 3,,logipierre-3,2019-01-01,2021-01-01,3,96,true,true,5,"0,0,0,0,2",2,false,,,,,false,2,Mon Jul 31 2023 16:54:20 GMT+0200 (heure d’été d’Europe centrale),0,SCPI,scpi,e9a0ec6f-2d70-4f67-967e-a535ccb988c2,atland-voisin,MyMoneyBank
8b1bb429-441c-4e75-b970-a7a2b1cffbd7,Aestiam Placement Pierre,,aestiam-placement-pierre,2019-01-01,2021-01-02,2,94,true,true,5,"0,0,0,0,0",33,true,2,2,2,2,false,2,Mon Jul 31 2023 16:54:14 GMT+0200 (heure d’été d’Europe centrale),0,SCPI,scpi,c9a0ec6f-2d70-4f67-967e-a535ccb988c2,hsbc-reim,HSBC REIM
e9153e43-5d73-4f28-b586-f159aaeebabd,Transitions Europe,,transitions-europe,2023-10-05,2001-01-01,3,8,true,true,4.7,"0,0,0,1,2",3,true,100,300,600,,false,2,Fri Nov 10 2023 17:09:28 GMT+0100 (heure normale d’Europe centrale),0,SCPI,scpi,198114f3-a409-46a6-9b77-928201600ab6,test-flavien,Test · Flavien
cbd753f5-0342-4b64-9841-d0a24e6d96c9,Comète,,comete,2001-01-01,2001-01-01,3,8,true,true,5,"0,0,0,0,1",1,true,50,50,50,50,false,2,Mon Dec 18 2023 11:29:59 GMT+0100 (heure normale d’Europe centrale),0,SCPI,scpi,bb445320-78f3-4f18-88a3-0f6f7387ea24,alderan,Alderan
009f4a66-9a6c-4795-88a1-86925360e556,Himalia · Monétaire,,himalia-monetaire,2017-03-23,2024-03-20,1,96,true,false,1,"0,0,0,0,0",47,false,,,,,false,2,Wed Mar 20 2024 18:01:49 GMT+0100 (heure normale d’Europe centrale),1,Assurance vie,assurance-vie,c9a0ec6f-2d70-4f66-967e-a535ccb988c2,bnp-paribas-reim,BNP Paribas REIM
9f7d4e4a-86bc-499f-a38d-9411034e7be3,Forecial,,forecial,2001-01-01,2023-10-24,6,120,true,true,0,"0,0,0,0,0",0,false,,,,,false,2,Tue Oct 24 2023 12:02:25 GMT+0200 (heure d’été d’Europe centrale),4,GFI,groupement-forestier,c9a0ec6f-2d70-4f66-967e-a535ccb988c2,bnp-paribas-reim,BNP Paribas REIM
df5ceea5-4013-4e1f-9f7f-f8fea60931eb,France Valley Patrimoine,,france-valley-patrimoine,2001-01-01,2023-10-24,3,120,true,true,0,"0,0,0,0,0",0,false,,,,,false,2,Tue Oct 24 2023 12:02:26 GMT+0200 (heure d’été d’Europe centrale),4,GFI,groupement-forestier,c9a0ec6f-2d70-4f66-967e-a535ccb988c2,bnp-paribas-reim,BNP Paribas REIM
